run_id,workload,policy,gate_enabled,lambda_source,cache_size_entries,cluster_count_k,ttl_confidence,seed,split,n_queries,n_hits,n_misses,n_stale_hits_served,n_stale_hits_prevented,n_false_hits,n_useful_hits,hit_rate,stale_hit_rate,false_hit_rate,useful_hit_rate,cost_saved_usd,cost_spent_usd,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_qps,overhead_mean_ms,peak_rss_mb,cpu_pct,cluster_ari,git_sha,timestamp
brackets-mixture-w1-global-seed0,w1,FRECOS,True,global,412,10,0.9,0,eval,1890,698,1192,156,994,608,60,0.3693121693121693,0.22349570200573066,0.8710601719197708,0.08595988538681948,2.015747883433788,4.15621499819744,91.42409432951735,76.30338436407854,276.28506847354555,431.5831677356392,10.938035616691238,0.37101010588731026,292.796875,80.4,0.5230327620507388,5816e57,2026-08-01T20:34:29.383477+00:00
brackets-mixture-w1-global-seed1,w1,FRECOS,True,global,412,10,0.9,1,eval,1890,704,1186,133,984,627,59,0.3724867724867725,0.18892045454545456,0.890625,0.08380681818181818,1.563238454826597,2.797502668493294,82.489801603598,75.1865646063695,238.54726643755947,370.10284132847835,12.122710693443862,0.37480014285566066,280.75,81.2,0.3502555974142001,5816e57,2026-08-01T20:37:00.984914+00:00
brackets-mixture-w1-global-seed2,w1,FRECOS,True,global,412,10,0.9,2,eval,1890,656,1234,102,1046,593,52,0.3470899470899471,0.15548780487804878,0.9039634146341463,0.07926829268292683,1.9870467590965866,3.893143434101608,98.23387949293074,86.83630862940709,294.47507521384824,404.7931266254529,10.17978731128056,0.980081990451374,227.390625,69.1,0.48411186288141306,5816e57,2026-08-01T20:40:59.133184+00:00
brackets-mixture-w1-global-seed3,w1,FRECOS,True,global,412,10,0.9,3,eval,1890,666,1224,147,1030,588,61,0.3523809523809524,0.22072072072072071,0.8828828828828829,0.0915915915915916,1.893095093650932,4.24933718206115,89.15484251694781,75.77607918985186,264.9721851401115,420.8351265276643,11.216440652787938,0.34087948993988837,282.40625,83.2,0.3194327086252602,5816e57,2026-08-01T20:43:46.414614+00:00
brackets-mixture-w1-global-seed4,w1,FRECOS,True,global,412,10,0.9,4,eval,1890,767,1123,136,929,707,48,0.4058201058201058,0.1773142112125163,0.9217731421121251,0.06258148631029987,3.5065662353826133,6.080788266369299,86.25777255271505,71.07224980324894,265.52670618011143,416.39992452079366,11.593158163096154,0.36751097140757666,280.140625,82.3,0.3952017920794925,5816e57,2026-08-01T20:46:11.642606+00:00
brackets-mixture-w1-learned-seed0,w1,FRECOS,True,learned,412,10,0.9,0,eval,1890,681,1209,109,1011,598,66,0.3603174603174603,0.16005873715124816,0.8781204111600588,0.09691629955947137,2.1114176704172856,4.167985923245988,92.64693945336808,78.00141756066293,275.5514945819505,428.12770018211046,10.793664700638377,0.34002380529869775,282.15625,94.5,0.5230327620507388,5816e57,2026-08-01T20:46:12.896317+00:00
brackets-mixture-w1-learned-seed1,w1,FRECOS,True,learned,412,10,0.9,1,eval,1890,694,1196,107,994,632,57,0.3671957671957672,0.15417867435158503,0.9106628242074928,0.08213256484149856,1.5767006905410534,2.8192316924076883,82.73694525414453,75.81279204939008,237.8041217809585,368.168807211076,12.08649892654705,0.3169122121656232,282.1875,92.8,0.3502555974142001,5816e57,2026-08-01T20:46:13.990172+00:00
brackets-mixture-w1-learned-seed2,w1,FRECOS,True,learned,412,10,0.9,2,eval,1890,577,1313,78,1125,517,56,0.3052910052910053,0.13518197573656845,0.8960138648180243,0.09705372616984402,1.65268820502605,4.342732228281816,103.69272642927824,94.58395716950724,290.4302127190848,399.40991369451876,9.643877969416033,0.33651735817550965,282.234375,94.4,0.48411186288141306,5816e57,2026-08-01T20:46:15.229626+00:00
brackets-mixture-w1-learned-seed3,w1,FRECOS,True,learned,412,10,0.9,3,eval,1890,684,1206,150,1012,606,63,0.3619047619047619,0.21929824561403508,0.8859649122807017,0.09210526315789473,1.9730900911542424,4.098030631588472,88.33202005894911,74.80116053661322,266.889647503272,420.8012726399748,11.320923028055303,0.332537065009496,282.234375,92.7,0.3194327086252602,5816e57,2026-08-01T20:46:16.335502+00:00
brackets-mixture-w1-learned-seed4,w1,FRECOS,True,learned,412,10,0.9,4,eval,1890,667,1223,83,1029,609,52,0.3529100529100529,0.12443778110944528,0.9130434782608695,0.07796101949025487,3.126384669596856,6.773194686774577,93.9316470543716,83.00449243940457,266.6569535006985,416.71420397451965,10.646039235542817,0.312963060771898,282.234375,95.3,0.3952017920794925,5816e57,2026-08-01T20:46:17.420953+00:00
