run_id,workload,policy,gate_enabled,lambda_source,cache_size_entries,cluster_count_k,ttl_confidence,seed,split,n_queries,n_hits,n_misses,n_stale_hits_served,n_stale_hits_prevented,n_false_hits,n_useful_hits,hit_rate,stale_hit_rate,false_hit_rate,useful_hit_rate,cost_saved_usd,cost_spent_usd,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_qps,overhead_mean_ms,peak_rss_mb,cpu_pct,cluster_ari,git_sha,timestamp
cost-aware-w1-row1_frecos-seed0,w1,FRECOS,False,none,25,10,0.9,0,eval,1890,485,1405,201,0,423,50,0.2566137566137566,0.4144329896907217,0.8721649484536083,0.10309278350515463,1.2594309247174738,4.2216428783813456,110.91320987598188,95.55718587368474,309.82604704520446,478.6204676853296,9.016058602200356,0.16277463910035622,192.5625,93.9,0.5229378675187831,5816e57,2026-08-01T21:41:41.814411+00:00
cost-aware-w1-row1_frecos-seed1,w1,FRECOS,False,none,25,10,0.9,1,eval,1890,468,1422,180,0,420,34,0.24761904761904763,0.38461538461538464,0.8974358974358975,0.07264957264957266,0.8592031413154634,2.8821741027708976,97.69417696995205,91.31392859978655,259.31771142031965,381.1846163472978,10.236024612885286,0.1471289037518935,206.796875,93.9,0.41935936310109573,5816e57,2026-08-01T21:41:42.718135+00:00
cost-aware-w1-row1_frecos-seed2,w1,FRECOS,False,none,25,10,0.9,2,eval,1890,528,1362,222,0,478,42,0.27936507936507937,0.42045454545454547,0.9053030303030303,0.07954545454545454,1.2167126604564753,4.014626432456431,107.51147153601364,98.31820922292283,292.6789955797426,400.58642147232604,9.30133301789126,0.1474378449890378,206.890625,92.0,0.45350574293588486,5816e57,2026-08-01T21:41:43.527107+00:00
cost-aware-w1-row1_frecos-seed3,w1,FRECOS,False,none,25,10,0.9,3,eval,1890,455,1435,221,0,408,35,0.24074074074074073,0.4857142857142857,0.8967032967032967,0.07692307692307693,1.1265928412157924,4.429801074745952,105.43113548663425,92.56684792264151,284.1473701287177,476.1275584890134,9.484864175884478,0.15358003650377097,206.921875,86.6,0.4088871256432895,5816e57,2026-08-01T21:41:44.378895+00:00
cost-aware-w1-row1_frecos-seed4,w1,FRECOS,False,none,25,10,0.9,4,eval,1890,542,1348,231,0,491,39,0.2867724867724868,0.4261992619926199,0.9059040590405905,0.07195571955719557,2.212348926222195,6.446238076680925,107.20151931240757,95.08063571934801,296.8357995851817,441.86820026346163,9.328226002896391,0.13984450160355735,207.46875,91.1,0.3946334934250692,5816e57,2026-08-01T21:41:45.163913+00:00
cost-aware-w1-row2_lfu-seed0,w1,LFU,False,none,25,10,0.9,0,eval,1890,420,1470,190,0,347,50,0.2222222222222222,0.4523809523809524,0.8261904761904761,0.11904761904761904,0.7794769387595133,5.090708352830445,114.02285599175225,100.0238957066158,299.6771396987908,471.57677067487697,8.770171482744953,0.12635092326303174,207.5,92.2,0.5229378675187831,5816e57,2026-08-01T21:41:45.874779+00:00
cost-aware-w1-row2_lfu-seed1,w1,LFU,False,none,25,10,0.9,1,eval,1890,474,1416,250,0,423,28,0.2507936507936508,0.5274261603375527,0.8924050632911392,0.05907172995780591,0.5439942339516544,3.3141008159291454,97.72593006305854,91.77627548623343,254.85103176201685,381.0759964504677,10.232698725453327,0.12436387670474625,207.5,93.1,0.41935936310109573,5816e57,2026-08-01T21:41:46.585128+00:00
cost-aware-w1-row2_lfu-seed2,w1,LFU,False,none,25,10,0.9,2,eval,1890,405,1485,213,0,350,34,0.21428571428571427,0.5259259259259259,0.8641975308641975,0.08395061728395062,0.5822533430058175,4.554986412147739,116.0788675079603,104.93947156596644,293.40762652378453,450.4326826934624,8.614832496805876,0.14315692326736146,207.5,87.8,0.45350574293588486,5816e57,2026-08-01T21:41:47.302206+00:00
cost-aware-w1-row2_lfu-seed3,w1,LFU,False,none,25,10,0.9,3,eval,1890,414,1476,234,0,357,36,0.21904761904761905,0.5652173913043478,0.8623188405797102,0.08695652173913043,0.6950310594496282,4.914400332538061,108.27674672585233,94.52443933608981,291.257316908735,485.82198585144715,9.235593331335641,0.13434402966662742,207.5,92.2,0.4088871256432895,5816e57,2026-08-01T21:41:48.059288+00:00
cost-aware-w1-row2_lfu-seed4,w1,LFU,False,none,25,10,0.9,4,eval,1890,375,1515,134,0,313,39,0.1984126984126984,0.35733333333333334,0.8346666666666667,0.104,1.4639230092756803,8.032444162099335,119.73765816051754,105.65068933041442,306.27027383006185,445.5379265242571,8.351591432157653,0.1579709597540651,207.515625,91.3,0.3946334934250692,5816e57,2026-08-01T21:41:48.821152+00:00
