run_id,workload,policy,gate_enabled,lambda_source,cache_size_entries,cluster_count_k,ttl_confidence,seed,split,n_queries,n_hits,n_misses,n_stale_hits_served,n_stale_hits_prevented,n_false_hits,n_useful_hits,hit_rate,stale_hit_rate,false_hit_rate,useful_hit_rate,cost_saved_usd,cost_spent_usd,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_qps,overhead_mean_ms,peak_rss_mb,cpu_pct,cluster_ari,git_sha,timestamp
sweep-cache_size-82-seed0,w1,FRECOS,True,learned,82,10,0.9,0,eval,1890,527,1363,47,447,463,62,0.2788359788359788,0.08918406072106262,0.8785578747628083,0.11764705882352941,0.20591279679198146,4.271868545518994,106.31496528680334,92.42549099600444,298.0553080380861,468.4730049752979,9.406013511854365,0.20061111597839507,191.578125,92.9,0.5229378675187831,eeb95b1,2026-08-08T15:34:26.366192+00:00
sweep-cache_size-82-seed1,w1,FRECOS,True,learned,82,10,0.9,1,eval,1890,495,1395,21,448,448,44,0.2619047619047619,0.04242424242424243,0.9050505050505051,0.08888888888888889,0.10080250796304895,3.014333094545082,95.6485341910926,90.44853093296148,252.95127686501036,391.93121531284976,10.454943282268578,0.21316274129305154,192.171875,91.8,0.41935936310109573,eeb95b1,2026-08-08T15:34:27.552113+00:00
sweep-cache_size-82-seed2,w1,FRECOS,True,learned,82,10,0.9,2,eval,1890,501,1389,24,527,459,42,0.2650793650793651,0.04790419161676647,0.9161676646706587,0.08383233532934131,0.1420128666911779,4.486667354826172,109.51407884106646,99.50929884065715,290.47649798823505,439.86171271324224,9.13124605148952,0.19650843660297887,192.0625,93.4,0.45350574293588486,eeb95b1,2026-08-08T15:34:28.638301+00:00
sweep-cache_size-82-seed3,w1,FRECOS,True,learned,82,10,0.9,3,eval,1890,489,1401,44,503,431,56,0.25873015873015875,0.08997955010224949,0.8813905930470347,0.11451942740286299,0.18023758583474525,4.6873139937505,102.79409739089112,89.94044466926427,284.23214078329323,453.05291885439925,9.728185035735454,0.20213454769907035,205.515625,93.8,0.4088871256432895,eeb95b1,2026-08-08T15:34:30.131262+00:00
sweep-cache_size-82-seed4,w1,FRECOS,True,learned,82,10,0.9,4,eval,1890,568,1322,56,448,518,48,0.30052910052910053,0.09859154929577464,0.9119718309859155,0.08450704225352113,0.28281416225756784,6.751369173280395,103.12674479541491,91.04855642888538,286.37393798863087,435.35523008086784,9.696805634501718,0.21394246974504164,192.203125,93.7,0.3946334934250692,eeb95b1,2026-08-08T15:34:31.379880+00:00
sweep-cache_size-248-seed0,w1,FRECOS,True,learned,248,10,0.9,0,eval,1890,675,1215,59,1012,613,59,0.35714285714285715,0.0874074074074074,0.9081481481481481,0.0874074074074074,0.20521078171962787,4.040757315708909,95.02848579787614,81.05881320178693,292.03819354300185,468.46285711572267,10.523160414520145,0.30124345424747656,206.109375,94.8,0.5229378675187831,eeb95b1,2026-08-08T15:34:32.511940+00:00
sweep-cache_size-248-seed1,w1,FRECOS,True,learned,248,10,0.9,1,eval,1890,635,1255,43,1034,581,49,0.335978835978836,0.06771653543307087,0.9149606299212598,0.07716535433070866,0.11059956028138054,2.8042540484676657,86.31443708677742,80.33538892408426,245.5195409059844,383.46403964258764,11.585547374822546,0.32528948907927663,219.5625,92.4,0.41935936310109573,eeb95b1,2026-08-08T15:34:33.768542+00:00
sweep-cache_size-248-seed2,w1,FRECOS,True,learned,248,10,0.9,2,eval,1890,574,1316,29,1130,523,46,0.3037037037037037,0.050522648083623695,0.9111498257839721,0.08013937282229965,0.15274329725151436,4.31671010414203,101.92219773148125,91.75720350486681,279.8502164880782,415.49347478777327,9.81140538820156,0.31657924824184863,219.59375,93.6,0.45350574293588486,eeb95b1,2026-08-08T15:34:34.888204+00:00
sweep-cache_size-248-seed3,w1,FRECOS,True,learned,248,10,0.9,3,eval,1890,552,1338,48,1137,489,60,0.2920634920634921,0.08695652173913043,0.8858695652173914,0.10869565217391304,0.19087148785599023,4.532308724438558,100.36312839588177,84.9300771715443,293.971315089147,479.2023481462805,9.963818545546983,0.31069638718796705,219.59375,92.6,0.4088871256432895,eeb95b1,2026-08-08T15:34:35.961552+00:00
sweep-cache_size-248-seed4,w1,FRECOS,True,learned,248,10,0.9,4,eval,1890,725,1165,47,987,673,50,0.3835978835978836,0.06482758620689655,0.9282758620689655,0.06896551724137931,0.2975178051745132,6.288784662835326,90.55564265795667,77.13132402478155,277.42399633203456,418.55572711184914,11.04293416344205,0.32234177736826636,206.171875,93.4,0.3946334934250692,eeb95b1,2026-08-08T15:34:37.018673+00:00
